Wavelength [μm]	Radiance [W/m²/sr/μm]
1.800160	3.221636
1.814330	3.098441
1.828490	3.043384
1.842630	2.892811
1.856770	2.827354
1.870890	2.587775
1.885000	2.522416
1.899090	2.531961
nan	nan
1.927240	2.377063
1.941290	2.067477
1.955330	1.315184
1.969350	1.528089
1.983350	2.032592
1.997340	1.394813
2.011320	0.612533
2.025280	1.385874
nan	nan
2.053140	1.257199
2.067050	1.266785
2.080940	1.550010
2.094810	1.659079
2.108660	1.746550
2.122490	1.733771
nan	nan
2.150100	1.667606
2.163880	1.587548
nan	nan
2.191360	1.582773
