Local Time [hour]	Ptides [%]	Latitude [deg]
0.000000	0.335656	-90.000000
1.000000	0.254845	-90.000000
2.000000	0.174025	-90.000000
3.000000	0.156941	-90.000000
4.000000	0.139857	-90.000000
5.000000	0.042042	-90.000000
6.000000	-0.055753	-90.000000
7.000000	-0.082228	-90.000000
8.000000	-0.108702	-90.000000
9.000000	-0.208243	-90.000000
10.000000	-0.307774	-90.000000
11.000000	-0.153877	-90.000000
12.000000	0.000000	-90.000000
13.000000	0.091977	-90.000000
14.000000	0.183954	-90.000000
15.000000	0.290141	-90.000000
16.000000	0.396339	-90.000000
17.000000	0.329579	-90.000000
18.000000	0.262819	-90.000000
19.000000	0.203294	-90.000000
20.000000	0.143788	-90.000000
21.000000	0.168217	-90.000000
22.000000	0.192666	-90.000000
23.000000	0.264156	-90.000000
24.000000	0.335656	-90.000000
0.000000	1.025229	-80.000000
1.000000	0.733139	-80.000000
2.000000	0.441040	-80.000000
3.000000	0.252757	-80.000000
4.000000	0.064459	-80.000000
5.000000	-0.131112	-80.000000
6.000000	-0.326713	-80.000000
7.000000	-0.404088	-80.000000
8.000000	-0.481478	-80.000000
9.000000	-0.539806	-80.000000
10.000000	-0.598127	-80.000000
11.000000	-0.299063	-80.000000
12.000000	0.000000	-80.000000
13.000000	0.317645	-80.000000
14.000000	0.635267	-80.000000
15.000000	0.853243	-80.000000
16.000000	1.071235	-80.000000
17.000000	1.152006	-80.000000
18.000000	1.232762	-80.000000
19.000000	1.203181	-80.000000
20.000000	1.173600	-80.000000
21.000000	1.159933	-80.000000
22.000000	1.146266	-80.000000
23.000000	1.085751	-80.000000
24.000000	1.025229	-80.000000
0.000000	1.205430	-70.000000
1.000000	0.777826	-70.000000
2.000000	0.350251	-70.000000
3.000000	0.155276	-70.000000
4.000000	-0.039727	-70.000000
5.000000	-0.158802	-70.000000
6.000000	-0.277884	-70.000000
7.000000	-0.345891	-70.000000
8.000000	-0.413863	-70.000000
9.000000	-0.496615	-70.000000
10.000000	-0.579389	-70.000000
11.000000	-0.289680	-70.000000
12.000000	0.000000	-70.000000
13.000000	0.328140	-70.000000
14.000000	0.656258	-70.000000
15.000000	0.835547	-70.000000
16.000000	1.014822	-70.000000
17.000000	1.263984	-70.000000
18.000000	1.513168	-70.000000
19.000000	1.627926	-70.000000
20.000000	1.742677	-70.000000
21.000000	1.597708	-70.000000
22.000000	1.452740	-70.000000
23.000000	1.329092	-70.000000
24.000000	1.205430	-70.000000
0.000000	0.877035	-60.000000
1.000000	0.418880	-60.000000
2.000000	-0.039254	-60.000000
3.000000	-0.110729	-60.000000
4.000000	-0.182150	-60.000000
5.000000	-0.069366	-60.000000
6.000000	0.043486	-60.000000
7.000000	0.233521	-60.000000
8.000000	0.423584	-60.000000
9.000000	0.127386	-60.000000
10.000000	-0.168736	-60.000000
11.000000	-0.084501	-60.000000
12.000000	0.000000	-60.000000
13.000000	-0.015817	-60.000000
14.000000	-0.031362	-60.000000
15.000000	-0.094236	-60.000000
16.000000	-0.157083	-60.000000
17.000000	0.256309	-60.000000
18.000000	0.669769	-60.000000
19.000000	1.152145	-60.000000
20.000000	1.634670	-60.000000
21.000000	1.350945	-60.000000
22.000000	1.067241	-60.000000
23.000000	0.972138	-60.000000
24.000000	0.877035	-60.000000
0.000000	1.273708	-50.000000
1.000000	0.959687	-50.000000
2.000000	0.645652	-50.000000
3.000000	0.668552	-50.000000
4.000000	0.691425	-50.000000
5.000000	1.002373	-50.000000
6.000000	1.313275	-50.000000
7.000000	1.896407	-50.000000
8.000000	2.479539	-50.000000
9.000000	1.744272	-50.000000
10.000000	1.008978	-50.000000
11.000000	0.504602	-50.000000
12.000000	0.000000	-50.000000
13.000000	-0.646834	-50.000000
14.000000	-1.293793	-50.000000
15.000000	-1.731521	-50.000000
16.000000	-2.169261	-50.000000
17.000000	-1.688794	-50.000000
18.000000	-1.208327	-50.000000
19.000000	-0.071249	-50.000000
20.000000	1.065717	-50.000000
21.000000	1.013896	-50.000000
22.000000	0.962030	-50.000000
23.000000	1.117882	-50.000000
24.000000	1.273708	-50.000000
0.000000	1.268144	-40.000000
1.000000	1.165150	-40.000000
2.000000	1.062647	-40.000000
3.000000	1.113656	-40.000000
4.000000	1.165119	-40.000000
5.000000	1.493938	-40.000000
6.000000	1.823566	-40.000000
7.000000	2.687790	-40.000000
8.000000	3.552642	-40.000000
9.000000	2.637820	-40.000000
10.000000	1.723689	-40.000000
11.000000	0.858065	-40.000000
12.000000	0.000000	-40.000000
13.000000	-0.972555	-40.000000
14.000000	-1.940587	-40.000000
15.000000	-2.659480	-40.000000
16.000000	-3.377321	-40.000000
17.000000	-3.081203	-40.000000
18.000000	-2.784874	-40.000000
19.000000	-1.326070	-40.000000
20.000000	0.134371	-40.000000
21.000000	0.299029	-40.000000
22.000000	0.464832	-40.000000
23.000000	0.866140	-40.000000
24.000000	1.268144	-40.000000
0.000000	1.861445	-30.000000
1.000000	1.744960	-30.000000
2.000000	1.628447	-30.000000
3.000000	1.556568	-30.000000
4.000000	1.484681	-30.000000
5.000000	1.593870	-30.000000
6.000000	1.703039	-30.000000
7.000000	2.533554	-30.000000
8.000000	3.364043	-30.000000
9.000000	2.428171	-30.000000
10.000000	1.492253	-30.000000
11.000000	0.746466	-30.000000
12.000000	0.000000	-30.000000
13.000000	-0.841893	-30.000000
14.000000	-1.684183	-30.000000
15.000000	-2.366757	-30.000000
16.000000	-3.049425	-30.000000
17.000000	-2.892945	-30.000000
18.000000	-2.736492	-30.000000
19.000000	-1.057478	-30.000000
20.000000	0.621307	-30.000000
21.000000	0.795126	-30.000000
22.000000	0.968784	-30.000000
23.000000	1.415178	-30.000000
24.000000	1.861445	-30.000000
0.000000	2.090112	-20.000000
1.000000	2.093016	-20.000000
2.000000	2.096006	-20.000000
3.000000	2.085801	-20.000000
4.000000	2.075634	-20.000000
5.000000	2.159662	-20.000000
6.000000	2.243720	-20.000000
7.000000	3.052356	-20.000000
8.000000	3.860985	-20.000000
9.000000	2.835626	-20.000000
10.000000	1.810321	-20.000000
11.000000	0.904832	-20.000000
12.000000	0.000000	-20.000000
13.000000	-0.867835	-20.000000
14.000000	-1.735313	-20.000000
15.000000	-2.435038	-20.000000
16.000000	-3.134652	-20.000000
17.000000	-3.109307	-20.000000
18.000000	-3.083944	-20.000000
19.000000	-1.217249	-20.000000
20.000000	0.649527	-20.000000
21.000000	0.802797	-20.000000
22.000000	0.956196	-20.000000
23.000000	1.523108	-20.000000
24.000000	2.090112	-20.000000
0.000000	2.278981	-10.000000
1.000000	2.396696	-10.000000
2.000000	2.514837	-10.000000
3.000000	2.550215	-10.000000
4.000000	2.585931	-10.000000
5.000000	2.645868	-10.000000
6.000000	2.706078	-10.000000
7.000000	3.564264	-10.000000
8.000000	4.422482	-10.000000
9.000000	3.292179	-10.000000
10.000000	2.162247	-10.000000
11.000000	1.079722	-10.000000
12.000000	0.000000	-10.000000
13.000000	-0.945736	-10.000000
14.000000	-1.890054	-10.000000
15.000000	-2.574676	-10.000000
16.000000	-3.258950	-10.000000
17.000000	-3.250487	-10.000000
18.000000	-3.241970	-10.000000
19.000000	-1.215759	-10.000000
20.000000	0.810746	-10.000000
21.000000	0.873693	-10.000000
22.000000	0.936913	-10.000000
23.000000	1.607729	-10.000000
24.000000	2.278981	-10.000000
0.000000	2.121735	0.000000
1.000000	2.116508	0.000000
2.000000	2.111739	0.000000
3.000000	2.082867	0.000000
4.000000	2.054370	0.000000
5.000000	2.048141	0.000000
6.000000	2.042203	0.000000
7.000000	3.039608	0.000000
8.000000	4.037128	0.000000
9.000000	2.991923	0.000000
10.000000	1.946863	0.000000
11.000000	0.971433	0.000000
12.000000	0.000000	0.000000
13.000000	-0.878733	0.000000
14.000000	-1.755411	0.000000
15.000000	-2.354843	0.000000
16.000000	-2.953795	0.000000
17.000000	-2.929576	0.000000
18.000000	-2.905337	0.000000
19.000000	-0.833291	0.000000
20.000000	1.239131	0.000000
21.000000	1.093298	0.000000
22.000000	0.947904	0.000000
23.000000	1.534533	0.000000
24.000000	2.121735	0.000000
0.000000	1.920758	10.000000
1.000000	1.779653	10.000000
2.000000	1.639249	10.000000
3.000000	1.601593	10.000000
4.000000	1.564302	10.000000
5.000000	1.614168	10.000000
6.000000	1.664300	10.000000
7.000000	2.743291	10.000000
8.000000	3.822096	10.000000
9.000000	2.818790	10.000000
10.000000	1.816056	10.000000
11.000000	0.903230	10.000000
12.000000	0.000000	10.000000
13.000000	-0.827465	10.000000
14.000000	-1.650137	10.000000
15.000000	-2.140941	10.000000
16.000000	-2.630867	10.000000
17.000000	-2.507249	10.000000
18.000000	-2.383276	10.000000
19.000000	-0.390353	10.000000
20.000000	1.604453	10.000000
21.000000	1.319847	10.000000
22.000000	1.036691	10.000000
23.000000	1.477945	10.000000
24.000000	1.920758	10.000000
0.000000	1.442947	20.000000
1.000000	1.241632	20.000000
2.000000	1.040728	20.000000
3.000000	1.084460	20.000000
4.000000	1.128426	20.000000
5.000000	1.355043	20.000000
6.000000	1.581875	20.000000
7.000000	2.713177	20.000000
8.000000	3.844180	20.000000
9.000000	2.789569	20.000000
10.000000	1.736124	20.000000
11.000000	0.862960	20.000000
12.000000	0.000000	20.000000
13.000000	-0.790984	20.000000
14.000000	-1.577113	20.000000
15.000000	-2.019405	20.000000
16.000000	-2.461155	20.000000
17.000000	-2.274947	20.000000
18.000000	-2.087963	20.000000
19.000000	-0.321794	20.000000
20.000000	1.447541	20.000000
21.000000	1.106112	20.000000
22.000000	0.766662	20.000000
23.000000	1.104049	20.000000
24.000000	1.442947	20.000000
0.000000	0.054529	30.000000
1.000000	-0.198943	30.000000
2.000000	-0.452386	30.000000
3.000000	-0.365043	30.000000
4.000000	-0.277615	30.000000
5.000000	0.110431	30.000000
6.000000	0.498543	30.000000
7.000000	1.604239	30.000000
8.000000	2.709869	30.000000
9.000000	1.907763	30.000000
10.000000	1.105826	30.000000
11.000000	0.552110	30.000000
12.000000	0.000000	30.000000
13.000000	-0.646292	30.000000
14.000000	-1.291464	30.000000
15.000000	-1.708503	30.000000
16.000000	-2.125374	30.000000
17.000000	-1.999779	30.000000
18.000000	-1.873949	30.000000
19.000000	-0.528648	30.000000
20.000000	0.817447	30.000000
21.000000	0.310785	30.000000
22.000000	-0.195691	30.000000
23.000000	-0.070665	30.000000
24.000000	0.054529	30.000000
0.000000	-0.872112	40.000000
1.000000	-1.107906	40.000000
2.000000	-1.343683	40.000000
3.000000	-1.218211	40.000000
4.000000	-1.092766	40.000000
5.000000	-0.576672	40.000000
6.000000	-0.060664	40.000000
7.000000	0.865344	40.000000
8.000000	1.791361	40.000000
9.000000	1.226291	40.000000
10.000000	0.661203	40.000000
11.000000	0.330925	40.000000
12.000000	0.000000	40.000000
13.000000	-0.469500	40.000000
14.000000	-0.939577	40.000000
15.000000	-1.315224	40.000000
16.000000	-1.690948	40.000000
17.000000	-1.585562	40.000000
18.000000	-1.480229	40.000000
19.000000	-0.595826	40.000000
20.000000	0.288284	40.000000
21.000000	-0.282613	40.000000
22.000000	-0.853596	40.000000
23.000000	-0.862832	40.000000
24.000000	-0.872112	40.000000
0.000000	-1.032988	50.000000
1.000000	-1.162268	50.000000
2.000000	-1.291540	50.000000
3.000000	-1.143111	50.000000
4.000000	-0.994658	50.000000
5.000000	-0.417338	50.000000
6.000000	0.160006	50.000000
7.000000	0.872438	50.000000
8.000000	1.584908	50.000000
9.000000	1.179528	50.000000
10.000000	0.774164	50.000000
11.000000	0.387062	50.000000
12.000000	0.000000	50.000000
13.000000	-0.471575	50.000000
14.000000	-0.943111	50.000000
15.000000	-1.343235	50.000000
16.000000	-1.743344	50.000000
17.000000	-1.625081	50.000000
18.000000	-1.506833	50.000000
19.000000	-0.916879	50.000000
20.000000	-0.326909	50.000000
21.000000	-0.703172	50.000000
22.000000	-1.079427	50.000000
23.000000	-1.056227	50.000000
24.000000	-1.032988	50.000000
0.000000	-0.997001	60.000000
1.000000	-1.101305	60.000000
2.000000	-1.205594	60.000000
3.000000	-1.085438	60.000000
4.000000	-0.965275	60.000000
5.000000	-0.453548	60.000000
6.000000	0.058179	60.000000
7.000000	0.491847	60.000000
8.000000	0.925507	60.000000
9.000000	0.732797	60.000000
10.000000	0.540101	60.000000
11.000000	0.270032	60.000000
12.000000	0.000000	60.000000
13.000000	-0.298091	60.000000
14.000000	-0.596113	60.000000
15.000000	-0.878367	60.000000
16.000000	-1.160614	60.000000
17.000000	-1.016220	60.000000
18.000000	-0.871825	60.000000
19.000000	-0.592246	60.000000
20.000000	-0.312666	60.000000
21.000000	-0.595967	60.000000
22.000000	-0.879274	60.000000
23.000000	-0.938138	60.000000
24.000000	-0.997001	60.000000
0.000000	-0.840047	70.000000
1.000000	-0.915178	70.000000
2.000000	-0.990294	70.000000
3.000000	-0.907741	70.000000
4.000000	-0.825181	70.000000
5.000000	-0.526117	70.000000
6.000000	-0.227068	70.000000
7.000000	-0.033551	70.000000
8.000000	0.159965	70.000000
9.000000	0.115953	70.000000
10.000000	0.071966	70.000000
11.000000	0.035975	70.000000
12.000000	0.000000	70.000000
13.000000	-0.073560	70.000000
14.000000	-0.147121	70.000000
15.000000	-0.281689	70.000000
16.000000	-0.416297	70.000000
17.000000	-0.328503	70.000000
18.000000	-0.240733	70.000000
19.000000	-0.237086	70.000000
20.000000	-0.233446	70.000000
21.000000	-0.453180	70.000000
22.000000	-0.672898	70.000000
23.000000	-0.756500	70.000000
24.000000	-0.840047	70.000000
0.000000	-0.526063	80.000000
1.000000	-0.641685	80.000000
2.000000	-0.757335	80.000000
3.000000	-0.758349	80.000000
4.000000	-0.759419	80.000000
5.000000	-0.658091	80.000000
6.000000	-0.556781	80.000000
7.000000	-0.481201	80.000000
8.000000	-0.405640	80.000000
9.000000	-0.359317	80.000000
10.000000	-0.312975	80.000000
11.000000	-0.156483	80.000000
12.000000	0.000000	80.000000
13.000000	0.096629	80.000000
14.000000	0.193221	80.000000
15.000000	0.151783	80.000000
16.000000	0.110318	80.000000
17.000000	0.115975	80.000000
18.000000	0.121624	80.000000
19.000000	0.028019	80.000000
20.000000	-0.065595	80.000000
21.000000	-0.239033	80.000000
22.000000	-0.412479	80.000000
23.000000	-0.469262	80.000000
24.000000	-0.526063	80.000000
0.000000	0.335624	90.000000
1.000000	0.296196	90.000000
2.000000	0.256711	90.000000
3.000000	0.273269	90.000000
4.000000	0.289828	90.000000
5.000000	0.323899	90.000000
6.000000	0.357971	90.000000
7.000000	0.279217	90.000000
8.000000	0.200508	90.000000
9.000000	0.054952	90.000000
10.000000	-0.090593	90.000000
11.000000	-0.045297	90.000000
12.000000	0.000000	90.000000
13.000000	0.012589	90.000000
14.000000	0.025156	90.000000
15.000000	-0.016035	90.000000
16.000000	-0.057249	90.000000
17.000000	-0.068872	90.000000
18.000000	-0.080506	90.000000
19.000000	-0.038086	90.000000
20.000000	0.004322	90.000000
21.000000	0.019436	90.000000
22.000000	0.034550	90.000000
23.000000	0.185110	90.000000
24.000000	0.335624	90.000000
