Local Time [hour]	InSight Normalized Pressure [%]
23.218889	2.802419
23.218889	2.802787
23.219167	2.806125
23.219167	2.806929
23.219444	2.801479
23.219444	2.801643
23.219722	2.802542
23.219722	2.801356
23.220000	2.801956
23.220000	2.802051
23.220278	2.802801
23.220278	2.802269
23.220556	2.800743
23.220556	2.802515
23.220833	2.804122
23.220833	2.800839
23.221111	2.801152
23.221111	2.805648
23.221389	2.806248
23.221389	2.805621
23.221667	2.806030
23.221667	2.806888
23.221944	2.804477
23.221944	2.803441
23.222222	2.805485
23.222222	2.804654
23.222500	2.804463
23.222500	2.804640
23.222778	2.804708
23.222778	2.804667
23.222778	2.803877
23.223056	2.805403
23.223056	2.806793
23.223333	2.802951
23.223333	2.801343
23.223611	2.805158
23.223611	2.802869
23.223889	2.802801
23.223889	2.806766
23.224167	2.803877
23.224167	2.803986
23.224444	2.805485
23.224444	2.804477
23.224722	2.805199
23.224722	2.804667
23.225000	2.804136
23.225000	2.802569
23.225278	2.801343
23.225278	2.801956
23.225556	2.803169
23.225556	2.804804
23.225833	2.803795
23.225833	2.803932
23.226111	2.805880
23.226111	2.807365
23.226389	2.808224
23.226389	2.807720
23.226667	2.808047
23.226667	2.806330
23.226944	2.804872
23.226944	2.806412
23.227222	2.806207
23.227222	2.807433
23.227500	2.808755
23.227500	2.806303
23.227778	2.804749
23.227778	2.804695
23.227778	2.804790
23.228056	2.805008
23.228056	2.805771
23.228333	2.807229
23.228333	2.808619
23.228611	2.808442
23.228611	2.804736
23.228889	2.802991
23.228889	2.806112
23.229167	2.807011
23.229167	2.803618
23.229444	2.802624
23.229444	2.802705
23.229722	2.801275
23.229722	2.804095
23.230000	2.803605
23.230000	2.803782
23.230278	2.807270
23.230278	2.799898
23.230556	2.798113
23.230556	2.802569
23.230833	2.799762
23.230833	2.803087
23.231111	2.806739
23.231111	2.802392
23.231389	2.801574
23.231389	2.804763
23.231667	2.804490
23.231667	2.801670
23.231944	2.801942
23.231944	2.803223
23.232222	2.800348
23.232222	2.805812
23.232500	2.809137
23.232500	2.797895
23.232778	2.800362
23.232778	2.804463
23.232778	2.799490
23.233056	2.799531
23.233056	2.799721
23.233333	2.803155
23.233333	2.804885
23.233611	2.805226
23.233611	2.802705
23.233889	2.799353
23.233889	2.800716
23.234167	2.801138
23.234167	2.801820
23.234444	2.798945
23.234444	2.801792
23.234722	2.806248
23.234722	2.799054
23.235000	2.797623
23.235000	2.802910
23.235278	2.801411
23.235278	2.798522
23.235556	2.797255
23.235556	2.798263
23.235833	2.801874
23.235833	2.801138
23.236111	2.800525
23.236111	2.802869
23.236389	2.804504
23.236389	2.805362
23.236667	2.805648
23.236667	2.802515
23.236944	2.799531
23.236944	2.803986
23.237222	2.804245
23.237222	2.804177
23.237500	2.806507
23.237500	2.804231
23.237778	2.807256
23.237778	2.805539
23.237778	2.802215
23.238056	2.803359
23.238056	2.802773
23.238333	2.805022
23.238333	2.804272
23.238611	2.804749
23.238611	2.804477
23.238889	2.804436
23.238889	2.804245
23.239167	2.798904
23.239167	2.799326
23.239444	2.801929
23.239444	2.803754
23.239722	2.800144
23.239722	2.801533
23.240000	2.805226
23.240000	2.801533
23.240278	2.805458
23.240278	2.804177
23.240556	2.803332
23.240556	2.800484
23.240833	2.791805
23.240833	2.799585
23.241111	2.804082
23.241111	2.798917
23.241389	2.799149
23.241389	2.800920
23.241667	2.801670
23.241667	2.802215
23.241944	2.802446
23.241944	2.801247
23.242222	2.801547
23.242222	2.802910
23.242500	2.799898
23.242500	2.800403
23.242778	2.803986
23.242778	2.803973
23.242778	2.803482
23.243056	2.802801
23.243056	2.801929
23.243333	2.797391
23.243333	2.800157
23.243611	2.806112
23.243611	2.802528
23.243889	2.804082
23.243889	2.807801
23.244167	2.805866
23.244167	2.803632
23.244444	2.805553
23.244444	2.804913
23.244722	2.801384
23.244722	2.805294
23.245000	2.806234
23.245000	2.804763
23.245278	2.803645
23.245278	2.802637
23.245556	2.805894
23.245556	2.804231
23.245833	2.804790
23.245833	2.806221
23.246111	2.805008
23.246111	2.804845
23.246389	2.801411
23.246389	2.805049
23.246667	2.807692
23.246667	2.803019
23.246944	2.804300
23.246944	2.805362
23.247222	2.802991
23.247222	2.803891
23.247500	2.801084
23.247500	2.797650
23.247778	2.800062
23.247778	2.800171
23.247778	2.801288
23.248056	2.801901
23.248056	2.801125
23.248333	2.803237
23.248333	2.805131
23.248611	2.805921
23.248611	2.801465
23.248889	2.800021
23.248889	2.802392
23.249167	2.801506
23.249167	2.803714
23.249444	2.804572
23.249444	2.802310
23.249722	2.802446
23.249722	2.806779
23.250000	2.806820
23.250000	2.801084
23.250278	2.804858
23.250278	2.807829
23.250556	2.800116
23.250556	2.795375
23.250833	2.796546
23.250833	2.798440
23.251111	2.799272
23.251111	2.799599
23.251389	2.802882
23.251389	2.804926
23.251667	2.801452
23.251667	2.800988
23.251944	2.804599
23.251944	2.807720
23.252222	2.805975
23.252222	2.804027
23.252500	2.806793
23.252500	2.802256
23.252778	2.799449
23.252778	2.803795
