Local Time [hour]	OMEGA Normalized Pressure [%]	MCD Normalized Pressure [%]
15.258879	-11.162783	-4.004649
15.259260	-10.772354	-4.004885
15.259632	-10.838535	-4.005117
15.260387	-5.412694	-4.005605
15.260813	-10.809403	-4.005901
15.261567	-4.279875	-4.006466
15.262000	-4.874885	-4.006880
15.256519	-4.232570	-4.003025
15.256519	-10.067466	-4.002992
15.257053	-9.975282	-4.003308
15.257319	-10.731376	-4.003470
15.257699	-5.655796	-4.003718
15.258126	-4.351841	-4.003984
15.258452	-10.268610	-4.004163
15.258879	-10.278194	-4.004456
15.259253	-11.200547	-4.004728
15.259632	-10.300935	-4.004952
15.260006	-10.413002	-4.005164
15.260440	-5.375629	-4.005457
15.260813	-6.339724	-4.005752
15.261193	-4.848260	-4.005961
15.261567	-10.754092	-4.006356
15.262000	-4.912765	-4.006755
15.256514	-3.984267	-4.002877
15.256514	-10.261013	-4.002877
15.257053	-10.899630	-4.003138
15.257319	-10.925539	-4.003278
15.257699	-10.367810	-4.003549
15.258499	-10.609415	-4.004031
15.258879	-10.188093	-4.004302
15.259632	-5.408578	-4.004822
15.260006	-10.798640	-4.005099
15.260440	-10.831848	-4.005317
15.260813	-10.669769	-4.005536
15.261567	-5.101887	-4.006201
15.262000	-10.770472	-4.006579
15.256458	-5.657452	-4.002777
15.256514	-11.181480	-4.002745
15.257106	-11.787406	-4.003038
15.258072	-10.215394	-4.003646
15.258499	-10.194978	-4.003918
15.258879	-5.111752	-4.004155
15.259253	-4.705373	-4.004381
15.259632	-10.115428	-4.004651
15.260006	-10.082544	-4.004890
15.260440	-10.399709	-4.005178
15.260813	-10.453938	-4.005381
15.261193	-10.350519	-4.005666
15.261567	-3.979463	-4.006007
15.256514	-10.276815	-4.002669
15.256514	-10.819659	-4.002702
15.257053	-10.352457	-4.002908
15.257746	-10.695154	-4.003345
15.258446	-10.382668	-4.003747
15.258879	-10.645495	-4.004017
15.259253	-10.167914	-4.004218
15.259626	-4.518049	-4.004465
15.260006	-4.864499	-4.004728
15.260432	-5.148254	-4.005008
15.260813	-6.025881	-4.005270
15.261187	-10.275512	-4.005462
15.256458	-10.833646	-4.002584
15.256514	-10.641928	-4.002574
15.257046	-11.018031	-4.002868
15.257319	-4.371790	-4.003078
15.258499	-10.583854	-4.003675
