Local Time [hour]	Ptides [%]	Ls [deg]
0.000000	1.203002	0.000000
1.000000	1.432529	0.000000
2.000000	1.662462	0.000000
3.000000	1.754128	0.000000
4.000000	1.846105	0.000000
5.000000	1.952846	0.000000
6.000000	2.059831	0.000000
7.000000	2.676879	0.000000
8.000000	3.293992	0.000000
9.000000	2.546800	0.000000
10.000000	1.799711	0.000000
11.000000	0.898431	0.000000
12.000000	0.000000	0.000000
13.000000	-0.775842	0.000000
14.000000	-1.549939	0.000000
15.000000	-2.059643	0.000000
16.000000	-2.568893	0.000000
17.000000	-2.543734	0.000000
18.000000	-2.518565	0.000000
19.000000	-0.949382	0.000000
20.000000	0.620057	0.000000
21.000000	0.582860	0.000000
22.000000	0.545956	0.000000
23.000000	0.874272	0.000000
24.000000	1.203002	0.000000
0.000000	0.893647	10.000000
1.000000	1.173968	10.000000
2.000000	1.454561	10.000000
3.000000	1.516379	10.000000
4.000000	1.578505	10.000000
5.000000	1.646330	10.000000
6.000000	1.714397	10.000000
7.000000	2.316504	10.000000
8.000000	2.918714	10.000000
9.000000	2.267371	10.000000
10.000000	1.615981	10.000000
11.000000	0.806888	10.000000
12.000000	0.000000	10.000000
13.000000	-0.626104	10.000000
14.000000	-1.250751	10.000000
15.000000	-1.725728	10.000000
16.000000	-2.200322	10.000000
17.000000	-2.227934	10.000000
18.000000	-2.255583	10.000000
19.000000	-0.862028	10.000000
20.000000	0.531686	10.000000
21.000000	0.460471	10.000000
22.000000	0.389451	10.000000
23.000000	0.641395	10.000000
24.000000	0.893647	10.000000
0.000000	0.885139	20.000000
1.000000	1.120092	20.000000
2.000000	1.355377	20.000000
3.000000	1.449316	20.000000
4.000000	1.543577	20.000000
5.000000	1.686809	20.000000
6.000000	1.830279	20.000000
7.000000	2.521146	20.000000
8.000000	3.212096	20.000000
9.000000	2.499840	20.000000
10.000000	1.787638	20.000000
11.000000	0.892701	20.000000
12.000000	0.000000	20.000000
13.000000	-0.754171	20.000000
14.000000	-1.506566	20.000000
15.000000	-2.095150	20.000000
16.000000	-2.683256	20.000000
17.000000	-2.722557	20.000000
18.000000	-2.761850	20.000000
19.000000	-1.268292	20.000000
20.000000	0.225496	20.000000
21.000000	0.163572	20.000000
22.000000	0.101888	20.000000
23.000000	0.493329	20.000000
24.000000	0.885139	20.000000
0.000000	0.494072	30.000000
1.000000	0.699297	30.000000
2.000000	0.904822	30.000000
3.000000	1.097256	30.000000
