Ls min [deg]	Ls max [deg]	Latitude min [deg]	Latitude max [deg]	Local Time min [hour]	Local Time max [hour]	Local Time center [hour]	OMEGA Median Tide [%]	OMEGA Std [%]	MCD Median Tide [%]	MCD Std [%]	Number of observations
0.000000	90.000000	60.000000	90.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	10.000000	11.000000	10.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	60.000000	90.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	30.000000	60.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	30.000000	60.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	30.000000	60.000000	8.000000	9.000000	8.500000	7.444343	5.452051	-0.042837	0.249752	201.000000
0.000000	90.000000	30.000000	60.000000	9.000000	10.000000	9.500000	2.760839	3.691028	-0.137972	0.529673	5677.000000
0.000000	90.000000	30.000000	60.000000	10.000000	11.000000	10.500000	-0.222943	2.868612	0.280686	0.269788	26261.000000
0.000000	90.000000	30.000000	60.000000	11.000000	12.000000	11.500000	-2.658289	2.787309	-0.222835	0.136910	10353.000000
0.000000	90.000000	30.000000	60.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	30.000000	60.000000	13.000000	14.000000	13.500000	-6.613141	3.423345	-0.278580	0.308948	35298.000000
0.000000	90.000000	30.000000	60.000000	14.000000	15.000000	14.500000	-5.231647	3.991226	0.163109	0.256607	24176.000000
0.000000	90.000000	30.000000	60.000000	15.000000	16.000000	15.500000	1.178098	4.225636	-0.699739	0.662042	10289.000000
0.000000	90.000000	30.000000	60.000000	16.000000	17.000000	16.500000	3.401322	4.151336	-0.441345	0.161189	5283.000000
0.000000	90.000000	30.000000	60.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	30.000000	60.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
